Language;Category;Level;Question;Option1;Option2;Option3;Option4;CorrectAnswer;Difficulty
C#;Type;Advanced;Mi az int alapértelmezett értéke C#-ban?;0;;-1;Egyik sem;0;1
C#;Type;Advanced;Mi a különbség az int és a double között C#-ban?;A double lebegõpontos számokat tárol;Az int csak pozitív számokat tárol;Nincs különbség;Mindkettõ lebegõpontos;A double lebegõpontos számokat tárol;1
C#;Type;Advanced;Mit jelent a boxing C#-ban?;Értéktípus átalakítása referenciatípussá;Referenciatípus átalakítása értéktípussá;Objektum inicializálása;Egyik sem;Értéktípus átalakítása referenciatípussá;1
C#;Type;Advanced;Mit jelent az explicit konverzió C#-ban?;Kézi konverzió típusok között;Automatikus konverzió típusok között;Csak lebegõpontos típusokra vonatkozik;Nem használható C#-ban;Kézi konverzió típusok között;1
C#;Loop;Advanced;Hogyan definiálható végtelen ciklus C#-ban?;while(true);"for(;;)";Mindkettõ;Egyik sem;while(true);1
C#;Loop;Advanced;Hogyan iterálhatsz egy 2D tömbön egy ciklus segítségével?;Két beágyazott ciklus használatával;Egy egyszerû for ciklussal;while ciklussal;Egyik sem;Két beágyazott ciklus használatával;1
C#;Loop;Advanced;Mit jelent a nested loop C#-ban?;Ciklus egy másik ciklusban;Egy ciklus megszakítása;Egy ciklus újraindítása;Nincs ilyen fogalom;Ciklus egy másik ciklusban;1
C#;Loop;Advanced;Hogyan iterálhatsz egy jagged array-en C#-ban?;Két beágyazott ciklus használatával;Egy egyszerû for ciklussal;Csak foreach ciklussal;Csak while ciklussal;Két beágyazott ciklus használatával;1
C#;OOP;Advanced;Mi az alapértelmezett viselkedés a metódusok felüldefiniálásánál (override)?;A metódus viselkedése változik az alosztályban;Az eredeti metódus felülíródik;Nem lehet felüldefiniálni;Egyik sem;A metódus viselkedése változik az alosztályban;1
C#;OOP;Advanced;Mit jelent az abstract kulcsszó egy osztályban?;Az osztály nem példányosítható;Az osztály minden metódusa implementált;Az osztály privát;Egyik sem;Az osztály nem példányosítható;1
C#;OOP;Advanced;Mi a polimorfizmus C#-ban?;Ugyanaz a metódus különbözõen viselkedik;Több osztály deklarálása;Több objektum létrehozása;Egyik sem;Ugyanaz a metódus különbözõen viselkedik;2
C#;OOP;Advanced;Mi az interfész C#-ban?;Egy szerzõdés az osztályok számára;Egy osztály típusa;Egy statikus metódus;Egyik sem;Egy szerzõdés az osztályok számára;2
C#;OOP;Advanced;Mi az alapértelmezett viselkedés a metódusok felüldefiniálásánál (override)?;A metódus viselkedése változik az alosztályban;Az eredeti metódus felülíródik;Nem lehet felüldefiniálni;Egyik sem;A metódus viselkedése változik az alosztályban;2
C#;OOP;Advanced;Mit jelent az abstract kulcsszó egy osztályban?;Az osztály nem példányosítható;Az osztály minden metódusa implementált;Az osztály privát;Egyik sem;Az osztály nem példányosítható;2
C#;OOP;Advanced;Mi a különbség egy absztrakt osztály és egy interfész között?;Egy absztrakt osztály implementációkat is tartalmazhat;Egy interfész lehet privát;Mindkettõ csak metódusokat tartalmaz;Egyik sem;Egy absztrakt osztály implementációkat is tartalmazhat;2
C#;Methods;Advanced;Mi a visszatérési típusa egy metódusnak, amely nem ad vissza értéket?;void;;empty;Egyik sem;void;2
C#;Methods;Advanced;Hogyan definiálnál egy default paraméterértéket egy metódusban?;Az alapértelmezett értéket megadva a paraméter mellett;A metódus végén;Egyik sem;Csak statikus metódusokban lehet;Az alapértelmezett értéket megadva a paraméter mellett;2
C#;Methods;Advanced;Hogyan definiálhatod a metódus default értékét?;A paraméter deklarációjánál;A metódus törzsében;Csak a metódus végén;Egyik sem;A paraméter deklarációjánál;2
C#;Methods;Advanced;Mi a kimenete egy void metódusnak?;Nem ad vissza értéket;null-t ad vissza;Hibát dob;Egyik sem;Nem ad vissza értéket;2
C#;Methods;Advanced;Milyen típusú metódusok lehetnek statikusak?;Bármilyen, ami nem függ példánytól;Csak public metódusok;Csak private metódusok;Egyik sem;Bármilyen, ami nem függ példánytól;2
C#;Methods;Advanced;Hogyan definiálhatod a metódus default értékét?;A paraméter deklarációjánál;A metódus törzsében;Csak a metódus végén;Egyik sem;A paraméter deklarációjánál;2
C#;Methods;Advanced;Mi a kimenete egy void metódusnak?;Nem ad vissza értéket;null-t ad vissza;Hibát dob;Egyik sem;Nem ad vissza értéket;2
C#;Methods;Advanced;Milyen típusú metódusok lehetnek statikusak?;Bármilyen, ami nem függ példánytól;Csak public metódusok;Csak private metódusok;Egyik sem;Bármilyen, ami nem függ példánytól;2
C#;Methods;Advanced;Hogyan térsz vissza egy értékkel metódusból?;A return kulcsszóval;A break kulcsszóval;A continue kulcsszóval;Egyik sem;A return kulcsszóval;2
C#;DataStructures;Advanced;Melyik gyûjtemény támogatja az indexelést?;List;Dictionary;HashSet;Queue;List;2
C#;DataStructures;Advanced;Melyik gyûjtemény ideális sorrend nélküli elemekhez?;HashSet;List;Queue;Array;HashSet;2
C#;DataStructures;Advanced;Mi a stack viselkedése?;LIFO (Last In, First Out);FIFO (First In, First Out);Véletlenszerû hozzáférés;Egyik sem;LIFO (Last In, First Out);2
C#;DataStructures;Advanced;Mi a verem (stack) fõ jellemzõje C#-ban?;LIFO (Last In, First Out);FIFO (First In, First Out);Rendezés;Egyik sem;LIFO (Last In, First Out);2
C#;DataStructures;Advanced;Melyik gyûjtemény a legjobb duplikált elemek elkerülésére?;HashSet;List;Array;Queue;HashSet;2
C#;DataStructures;Advanced;Melyik gyûjtemény ideális sorrend nélküli elemekhez?;HashSet;List;Queue;Array;HashSet;2
C#;DataStructures;Advanced;Mi a stack viselkedése?;LIFO (Last In, First Out);FIFO (First In, First Out);Véletlenszerû hozzáférés;Egyik sem;LIFO (Last In, First Out);2
Java;Type;Advanced;Hogyan definiálható egy konstans Java-ban?;final kulcsszóval;const kulcsszóval;static kulcsszóval;constant kulcsszóval;final kulcsszóval;2
Java;Type;Advanced;Hogyan jelöljük a lebegõpontos számot Java-ban?;float vagy double;int vagy long;short vagy byte;char vagy String;float vagy double;2
